dyu,fr
Brɛji ka di aw ye wa?,Vous aimez bien le bridge?
Marko ka fogo lakɔrɔsi,Marco a observé la scène.
A ka hakili sɔrɔ le kɔfɛ.,"Il en eut l'idée, un peu tard."
Ɛlvir facɛ ko tuguni.,Dit encore le père d'Elvire.
"Sira biwolonfila ni loru, Belosiye .",soixante-quinze rue Bellocier
Roze Renar sira Hɛrz .,Rue Roger Renard à Hierges
Fɛnzoni nin be yanfɛ yi.,Cette jaune là-bas.
Gɛsnɛs sira min bi Mɔtsur .,Rue de Gesnes à Montsûrs
Piyɛr Lɛmbre sira min be Ras .,Rue Pierre Lembrez à Râches
I ka ale lɔrjɛti ta wa ?,Tu as pris la lorgnette ?
Puwɛn fila an cɛ.,Deux points d'avance.
Aveni Moro nimero bisaba.,Avenue Moreau au numéro trente
Pari kelen le.,Il n'y a que Paris!
Kɔ tuguni a tora marius filɛ ra,Puis il regarda Marius.
bila koro fla,Deux petits gars.
cɛ ni la KO kɔni man Di ne ye,C’est lui que j’aime le moins.
ne tɔgɔ le ye ko filipu,Je m’appelle Fulup.
tuma mina ne tun bi repiblikɛn ye,… quand j'étais républicain !
an la doniw bé mini,Où sont nos bagages ?…
Un bamousso koroba lé,C’est ma grand-mère.
Aka welé baga nèni,Il fit venir son ingénieur.
O bi sɔsɔli kɛ ni hakilisigi ye.,Ils discutent avec passion.
a gɛlɛyara,C’est scandaleux
baa kapitɛn ɲafɛ,Bah ! devant le capitaine !
Notɛr ni dususuma ye.,"Le notaire , avec calme."
A kana riski kelen ta.,Ne prenez aucun risque.
n la fɛn kuraw filɛ,Voilà nos nouveaux Chouans
Pɔmu kelen bi tabalikan,Il y a une pomme sur la table.
Sira faran wɔɔrɔ,six chemin Masckeri
A be basikɛti juwe le ra wa,Vous jouez au Basket ?
An tun be vote ni bolo lawili ni ye.,On votait à mains levées.
I prese la ka se yi.,Tu es pressé d'être arrivé ?
Nin a kadi mɔgɔw ye.,"Lui, il est aimé."
Jii mi lɔgɔ b'an na.,Nous avons soif.
pɔrt renan sira min bi somon,Rue du Port Renard à Chaumont
sira saaba brosɛn,trois rue Brochain
an bé jatiyakɛ tukɔnɔ dugu kɔnɔ,On dénombre dans le village.
Pasimɛr fila.,"deux Pachymère, liv."
I ta sera Ala le ma.,Tu t'attaques à un dieu.
Komte defingan ka sigi yɔrɔ lo,Il s'agit du siège du comté d'Effingham.
Calendrier gêra,Le calendrier est clair.
a sigi yɔrɔ bi Howell .,Son siège est à Howell.
Lofisi be damina minwi.,L'office commence à minuit.
bidara sigi yɔrɔ min sɔrɔ ye,Place de Vidalat à Saurat
ka sumani kɛ ni lɛd criar ye,Comparer avec l'aigle criard.
Ne sigè na,Sapristi ! que je souffre !
Wari lo,et cent quatre-vingt-onze pp.
Dou gou lo,Le chef-lieu est Porrentruy.
a bɛna kɛ tajurusara ye,Ce sera la revanche !
Rut de Salɛz Rusiyɔn.,Route de Salaise à Roussillon
Kourou fin man,Les Montagnes Noires.
Alâ ka bara ka di aw ma,Dieu vous bénisse.
Sodron ka ɛnpasi Marsɛl..,"Impasse du Chaudron, Marseille"
o ka caa ka dimi,Elles sont trop nombreuses.
"Peuh! A fɔ, Vikɔmte .",Peuh ! dit le vicomte.
A bi na mankan kè nin yé,Elle va me faire une scène !
An ka tɔgɔnɔn gwɛn,Nous chassions donc le canard…
A sigira wagalen kan.,Il s’assied sur le canapé.
Oyi hɛrɛ d'o ma.,On leur donne la paix.
A tun barila dɔtɔrɔcɛ la,Le médecin fut surpris.
wagati surumaniw na denmisɛnw ani makɔrɔbaw ka kuma bi fɔra yɔrɔbɛra,"Plus récemment, des versions pour les enfants et les adolescents ont également été publiées."
Irisar ye a ka ko kalifa cɛni na satora,Le duc Richard lui confie aussi la garde du château du Homme.
Denn wolo Koura bina obyèrè soro,Les nouveau-nés s'étendront sur Sacha Distel dix fois de suite.
Farafin ka gni ka gnamalow,"Cependant, c’est au Griqualand que l’Afrique du Sud doit la Currie Cup."
Michel kaneva yi kalan bâ kê,Michel Canévet est diplômé de Sup de Co Bretagne.
ɲɔgɔn kɔrɔsi bi bila yɔrɔ looni kɔnɔ ani kɛnɛma tala,La protection s'applique également à l'architecture marine et à l'architecture d'intérieur.
Rɛm ka sira biwɔɔrɔ ni wɔɔrɔ nan,soixante-six rue de Reims
O fila sera k'a kɛ.,"A deux, ils y furent."
A be bɔ ele cogosi lo ra.,Tout est question de posture.
Bɛ ti se ka kɛ barakɛden ye.,N’est pas valet qui veut !
N bi tɛmɛna bonfila lankolo kɔnɔ.,Je traverse deux pièces vides.
O y'a tɔ bɛ jɛni.,Ses restes ont été incinérés.
Krɛyɔn b'aw fɛ a?,Vous avez des crayons ?
Yɔrɔ bina ɲɛ a?,Fera-t-il beau ?
Kuntigi kulera makaritɔyala kojugu,Ui! dit piteusement le baron.
Kardi ka yɛlɛ Sɛn Simɔn na.,Montée du Cardi à Saint-Simon
Yɔrɔjan nin na mankanba dɔ bɔra trɔmpɛti sababu fɛ.,Au loin sonna désespérément une trompette.
O ye kilan ni kɛ ni dapɔrti babaw ye,Elles sont servies par des portes louvoyantes coulissantes.
An bi se ka yɛlɛmanikɛ komplɛteman ka bɔ yɔrɔ finw la,on peut faire un changement de variables bijectif dans l'intégrale
Susuni ka yɔrɔklan mugan ani bisaba ni binani ni wɔrɔ Sota ye.,"Lotissement Susini, vingt, cent quarante-six Sotta"
A tun bi mangango cila i n'a fɔ mɔgɔ min ti se kuma na,Grantaire discourait en philosophe sinistre.
sugurudenw ti fɛn dɔw ye I na fɔ feen tɔw,Elle n’est pas une clause contractuelle comme une autre.
gannikɛ yɔrɔ lɔra o y'a toi a sumana,Le chauffage est arrêté et le tube est laissé refroidir.
sira kɛmɛ ni biwolonfila ni kɔfɛta,cent vingt-sept rue de Charrière
kilan yɔrɔ bikɔnɔtɔn,"six lotissement le Clos des Camps, trente, trois cent soixante à Saint-Maurice-de-Cazevieille"
protehin ni glitɛn b'a fɛ cama,Il est riche en protéines et en gluten.
Franci konon na,C'est le fonds de la France.
Anga yongon kalan,"nous, nous lûmes."
An bé labè ni flèrou yé,On va t'y couvrir de fleurs.
Kèlè kiuntigi ka karé,"Rue du Général Defrance, Wassy"
Yôrô djani lo nin touma na,Desserte actuelle.
O ka yôrô bè yagamou,Ils y jetèrent le désordre.
Tchama touba donna,La masse piétinait.
A bina yen,Feldenkrais apprend le Judo.
Ibi sèbè li kè na tchin wa,Tu mords le tableau ?
Anga djifilé kôrô ta dougou tôgô râ,Trinquons à la République!
Kiti tigêla lo,"Il est l'avocat de la papeterie Arjowiggins de Bessé-sur-Braye, placée en redressement judiciaire."
Ayi ko lo daminè,Vous proposez de relever à nouveau ce seuil à deux mille mètres cubes.
A tissé ka yèrè fô,Reece justifie ses actes par la nécessité de boire du sang pour se purifier.
Aba fili la,Il prend sa source à Limésy et se jette dans l'Austreberthe à Pavilly.
Yôrô bâ lo,Le parc est le grand parc national du pays.
Josey ka môgô,Le Père jésuite du Pont Saint-Ange?
Étage lo toun bi yongon na,"Aux États-Unis, Élodie est aussi l'invitée régulière de la Chopin Society of Atlanta."
Donkili la bi tôga kè touma bè,Concerts et autres manifestations publiques sont organisés périodiquement dans la chapelle.
Olivier bi mouko fora,"Après la mort de Jimmy Olsen, la vie d'Oliver commence à se dégrader."
A dankan lo yi ni koni yé,"Le bilan du groupe reste limité, de par sa nature expérimentale."
Tchié ni kèla ka tcha o la,L'ouvrage compte encore de nombreuses meurtrières très variées.
A kèra komi a toi ka djan,Toutefois j'ai lieu de croire que l'événement n'est pas prochain.
Ne bi fenn tchala doum,Je mange souvent des pâtes.
Charles ka sira wôrô,"six avenue Charles Tellier, soixante-dix-huit, huit cents, Houilles"
a y'a ka gɛlɛya fɔlɔ sɔrɔ sandepu tumana,Son baptême du feu a lieu lors de la bataille de Sandepu.
A tun ka teli mɛ a tun kaɲ,"C’était à l’arrache, mais ça marchait."
A bɔra milan denbaya dɔ kɔnɔn min bɔra edi,Il nait à Milan dans une famille juive originaire d'Émilie.
Jɛnɲɔgɔnyajɔnjɔn sigira o yɔrɔnikelen bɛɛ ra.,Une solide relation s’établit très rapidement.
A tèmè na Yoro djan,Il a vécu au Carbonifère supérieur et au Permien inférieur.
Ousmane bina Roland ka pila si ta,"Sverrir vient notamment remplacer Alexander Scholz, parti au Standard de Liège."
Hakili barakɛlaniw ti fɛn cama lɔn,Les psychiatres ne servent pas à grand chose.
Lodô ibi yèlè londo ibé kassi ra,"L’un rit, l’autre pleure."
A bi couleur yaganmini kè,Il mélange aussi couleur et noir et blanc.
Anya ka dala mina yé,"Nous avons parlé de son confident, le président Birague."
Ne ti foyi famou na Koura na,"Oh ! moi, je me connais ! je ne devinerai pas !"
Oumar toun Ti yera,"Omer sentait la fureur gronder dans ses oreilles, et la peur secouer ses os."
Abe taga,Finalement des auteurs mexicains commencent à apparaître.
A fatchè yi tni tigi yé,"De son père, elle avait hérité l'amour de la poésie et de Jeanne d'Arc."
Nɛnɛkili jan dɔ y'a disi kɔrɔta,Un soupir profond souleva sa poitrine.
sini an bi n'a kɛlɛkɛ ɲɔngon kɔrɔ,"Demain, nous combattrons côte à côte."
N ma deli ka Nin fɛn Nin ɲɔgɔn ye,Je n’avais jamais vu pareille chose.
A bɔra koni bolo fɛ,Elle sort à gauche.
Ɔnhɔn a ti makari kɛ!,Si ça ne fait pas pitié !…
Sini n bi na taga Gɛngap la.,j'irai à Guingamp demain.
Kelen bi yɛlɛ kelen bi kasi,Le plus vieux d'entre nous.
Mɔn Karifuri tilan ni lo kabakuru cogo fila le cɛ ra.,Le mont Karifuri est divisé entre deux différents types de roches.
Eketɔr seegi ra ka gilan a cogo kelen kelen nin na.,Eketorp a même été reconstruit à l'identique.
Nne y'a fɔ ko nin yirali nin ti na foyi kɛ tiyɛn na.,Je le dis : c’est un affichage qui restera sans effet sur la réalité.
fanga tigi,la forte.
O ya FO ko djara kiunsigi le bâ fè,Elle a une crinière de lion! dit un autre.
Wala ne ta ye n li,"Eh bien, tu me rases, voilà le mien."
Lɛrd yi sale kɔnɔna klan fila,L'oued Bouregreg sépare la capitale de Salé.
"w,z","Ce conglomérat comprend Hyundai Motor, Kia Motors, Hyundai Rotem, etc."
Pari asɛt waga kelen nin kɛmɛ seegi ni mugan,"Paris, Hachette, mille huit cent vingt-huit."
balikisɛ bɔna dilan kan,La mitraille avorta sur le matelas.
a laban na a ye abu trodi dr ɔman bugɔ,"En finale, elle bat Trudy Groenman."
n ma lon ni ɲanaman lo a tun kaɲi ka kolo bɔ,Je le sais bien ! mais il fallait colorer.
donal genil le tugura kɔ,Donald Gelling lui a succédé.
dɔkyɛr koretɛl a ye sabali a ye n lamɛ,"Docteur Keraotred, écoutez-moi s’il vous plait."
a ba famuyala a ka gɛlɛn barakɛbaga ma,Vous comprenez comme c’est grave pour un employé.
a ye dɔnkili lan di amuso ma,Il donne une aubade à sa dame.
Amu Daria ka kɔ dɔ le ko den kelen kini bolo fɛ.,C'est un affluent de l'Amou-Daria en rive droite.
Ɲafɛmɔgɔ dafani lo.,C'est un ministre accompli.
a bi ne sigɛna nin cogo ni n'a ka tɛmɛ,Et je souffre assez mal ces façons!
Aw y'a kɛ cogo di le,Et comment l’avez-vous déterminée à venir ?…
Miria tun tora dusura,Milan lui restait au coeur.
I dɔgɔ muso ko ka di o ye,ils aimèrent ta sœur.
N t'a lɔn n bin'a kɛ cogo min na k'a nigɛ.,Je ne sais plus comment la distraire…
Kuma bi balimancɛ Gabriyɛl Sɛrvil le bolo.,La parole est à Monsieur Gabriel Serville.
Musomani deni nin bɔra toto ra.,Cette petite fille est d’un rat !…
Mɔfɔlɔla kumafɔcogo bɛ kaɲi.,"En premier lieu, tout langage est accepté."
A sera rezɛrvwardara ka sɔrɔ ka tunu kinibolo fɛ.,Il gagne le rebord du réservoir et disparaît à gauche.
Fôlô la an toumbi djô fili,autrefois on pêcha.
Honhon a ti makari kè,GmbH pour la formation.
Ne bôra Amérique,Je viens d’Amérique.
Ayi da datougou,Elle ferme la porte.
Bara kèlaw teyi sissan,Le service passagers n'est pas en activité actuellement.
Ayi dèmissin nounou togô la kenedi,Il baptise les deux enfants des Kennedy.
Mogo mounou ti alah batô o lon ni lo,À côté des chrétiens figurent également les nombreux juifs d'une communauté bien représentée.
Flè a bi donkèra nayé,Cette autre -ci en train de danser avec lui !
Kenedy ma kouma tougouni,Les arrivées de Kennedy et Deakin ne furent pas suivis d’un succès immédiat.
Barakè yorô ni be toulou gilan,Le domaine est également producteur d'huile d'olive.
Aya bolo dèrê yingon nan,"Il écarta soudain les doigts, le bouchon avait disparu."
Ni tchogo ni nan yini gali bi Sega kè,"Néanmoins, la question peut se poser ailleurs."
A sara aka den ya plassi ta,Il meurt à Tyr et son fils Séleucos V le remplace.
Kou bi fèga lon ni grèvou beyi sini,J’aimerais savoir s’il y aura grève demain.
I lani bara kabi dia i yé,tu es sûr que tu aimerais.
Bè ka sira lo,La rue Joseph-Sansbœuf est une voie publique située dans le de Paris.
Sira lo toumbi o faran nan,La rive opposée m'était mieux connue puisque je l'habitais.
Oko ale lo kagni,Il a été également chargé d’enseignement à l’École du Val-de-Grâce.
A bi kalan kèra Boston,Il étudie à l'université de Boston.
A yi toi aka ta Bali kan,Restez à vos tables ; voici la nôtre…
Okan ga djigê minè,pour qu'on pêche.
A tigi bi fè ka kouma fila fô,Le capitaine essaya des mots à double entente.
Kabakourou lo tout bâ bolo,"vingt-six rue de la Terre des Roches, soixante-dix-sept, cinq cent quatre-vingt-dix, Bois-le-Roi"
O bina fa râ yongon kan,Il parvint à regrouper toutes les mutualités catholiques de Courtrai.
"Bartelɔn pilasi, fuu ni duuru anbrin kɛmɛfila","Place Barthelon, zéro cinq, deux cents Embrun"
Ksɛti min ye Pink akɔrd ka dɔngilida kelen kelen nin ye.,L'album comprend dix chansons typiquement punk hardcore.
A bolo ye filɛruburu bɔn Nin tigɛ non tɛmɛtɔyaye,Sa main cueillit distraitement des roses défeuillées.
"Leon Salva ka sira tan ni wɔɔrɔ, sodevil lɛs browɛn kɛmɛsaaba ni biwɔɔrɔ","seize rue Léon Salva, soixante-seize, trois cents, Sotteville-lès-Rouen"
Asparan Dibilido sira.,"Rue Dibildos, Hasparren"
A tun bi Lande ka lamini datugura.,Il couvrait le département des Landes.
O tumana i ɲana ko nin malobali fasɔn ni bi se ka taga goti wa,Et tu crois qu’un pareil extravagant est capable d’aller à Gotha !
Nin cira nin kɛra mun fɛn ye?,Qu'est devenu cette commission ?
O sɔkɔni Ezypte la Al Afdal y'a ka sodasi yɛrɛkɛ ni hakilidaya ye.,"De retour en Égypte, Al-Afdhal disperse imprudemment son armée."
Fɛn damadamani nɔrɔ bi kalansora,"En somme, plusieurs facteurs ont un effet sur l'enseignement présent dans une classe."
Ari Emanuɛl minna Ari Gɔld ka mɔgɔma a ka anturaze kɔnɔ.,Ari Emanuel a inspiré le personnage d'Ari Gold dans la serie Entourage.
A ye tanikɛ ɲɔgɔnye bisaba la,Il prend part à trente rencontres malgré la relégation en fin de saison.
Pigale komisaria ka mɔgɔ kuraw tun bi yɛlɛ la k'a ko mɔgɔ sɛbɛw tɛ.,Les bleus du commissariat de Pigalle se marraient comme des tordus
Mɔgɔfasɔnw.,des gens bizarres.
Dunan ladon so dira klemaɲɔn tiɲɛ ta law ma o y'a fere,Puis l'hôtel est restitué aux héritiers du duc de Crillon-Mahon qui le vendent.
"Plenef Val Andre ka tagasira, Santɔr ka tagasira bi bɛn mugan ni fila, kɛmɛsaba ani bikɔnɔntɔn.","un allée des Chantoirs, vingt-deux, trois cent soixante-dix, Pléneuf-Val-André"
Tchè wolo fila lo ya woro bo,Le ver plat fuchsia est doté d'un seul organe reproducteur mâle.
A ya ka djigiya ya sôrô,Jamie accède à sa demande et Jacobs guérit Astrid.
Film tan ani dourou tout be programme na,Il y eut quinze films au programme.
Yan Yoro datouvou ni lo,L'entrée est encadrée de deux absidioles.
O kagni ko djougou,Ils ont canon et garnison.
Quincay ka sira tchama,"cent quatorze rue de Quinçay, quatre-vingt-six, zéro zéro zéro à Poitiers"
A ka dun,Vous êtes profond.
A ten kan nɔ gwɛma dɔ be yi min bi komi edɛlwɛs,Elle porte une tache blanche sur le front en forme d'édelweiss.
Ne lanibara kɔsɔbɛ k'i ka lanaya a ni ka hinɛya bi ɲɔgɔn kɛlɛla,Je le vois clairement … Votre loyauté est en lutte avec votre tendresse pour moi.
kilasi kɔnɔtɔn nan mi ye ye n ba kɛ la depi kalo keleen,Voici la neuvième place que je fais depuis un mois.
nɛvɛri tumanaa ka n'a to a bi tɛmɛ dɛ n tigi y'an ta ye,"Vers neuf heures, ne manquez pas … Le baron est à nous."
a ye tun ka lon kɛ a tara,Pécuchet regretta la sienne.
un un wagati caman b'a fɛ ka Di a ka barakɛ yɔrɔma,"Non, il doit des heures à sa boîte."
Txhé ni bi yè lè bila,C'est ur gars rigolo.
a ba miri ko Ashoka ka cira denw bi se ka nigɛ.,On pense qu'il aurait pu être influencé par les missionnaires d'Ashoka.
Koulo kè baga tountè,Il n'était pas joueur et il considérait la Bourse comme un endroit malhonnête.
Dafouroukou a ni yan couleur bè yèlè man na,"Le front, les joues et les zones périoculaires sont jaune vif."
A bi la fèmi mi nan a bâ fè,Il croit tout ce qu'il veut et ne croit jamais rien de ce qu'il entend.
"a Sara Paris , a su donna Gimont.","Mort à Paris, il est inhumé à Gimont."
I dɔgɔmuso ko bina diya olu ye,elles aimeraient ta sœur.
Yɔrɔjan sɔrɔra nne fɛ,Il y a eu bien loin pour moi.
ɲadenw bɛ tun sirana,Tous les yeux s'effrayaient.
Ni bi fɛ ka tifɛ sinɔgɔ kɛ,Si tu dois faire des scènes…
Kôrô yan magni,le temps n'est pas beau.
A bi konon ni kè touma bê,il attend tous les jours.
jistɛn ko ɛston ka labaan,"Escompte, dit Justin en achevant."
Olɛmpe n balimamuso bi se ka to yɔrɔ kelen.,Olympe Madame peut être tranquille.
N balimancɛ Sarni yi safilɛ do fili a ma ani ka lɔ yɔrɔ kelen.,Monsieur de Charny lui jeta un regard de vipère et se tint immobile.
O bi dumuni d'a ma min bi tɛmɛ a dumuta kan.,Le gobie lui offre le surplus de ses aliments.
Nin sinema nin ma sɔrɔ ka turne la ye.,Le film n'a cependant jamais été réalisé.
A ye politikmuso Mimu Zakopson facɛ le ye.,Il est le père de la femme politique Mimi Jakobsen.
Teyie ni Kameliya ka lukɔnɔmɔgɔw lo.,C'est la famille du théier et du camélia.
"N fɛ nin kɔrɔsili nin kaɲi, Garnavan ka laminɛni.","La précaution me paraît bonne, répondit Glenarvan."
Nin kelen nin b'a dan na le.,Celui-ci est de au maximum.
Kan'a fɔ n ye ko i bi fɛ ka wariblayɔrɔ le kari.,Me dis pas que tu veux cambrioler la banque.
Danbetɔn y'a bolo fiman yir'a ra.,"Dambeton, lui montra son poing noir."
Nin lɔri nin beyi Burg ka sira min beyi Witɛrhayin .,Cette construction est située rue du Bourg à Wittenheim.
a y'a ɲini ka san,Il essayait de l’acheter?
N son ni bɛ a ma ali ni mɔgɔ wɛrɛm ma sɔn ka kuma wɛrɛ fɔ ye,"J’en suis d’accord, même si personne n’a jamais prétendu le contraire."
stela ka kuma cogo naani,quatre Expression de Stella.
sini i bi n'a manto gannima le don,Demain tu t’habilleras d’un chaud manteau.
a ye papie sɛbɛri dɔkɛ,Elle écrivit une lettre.
O cogo kelenkelen nin na zeneral ni Oteliya ka denkɔrɔba tɔgɔ la ra Wiliyam Mahone .,De même le fils aîné du général et d'Otelia est baptisé William Mahone.
O kama le an b'a la don..,Et c’est pour cela que vous le protégez.
Kelen lo ka to ji kɔnɔ juma lon... A bi ko kolon lo yira.,C’est égal… se noyer un vendredi… ça porte malheur !…
Biridan mɔgɔ b'aw fɛ kalan na wa ?,Buridan ; avez-vous quelqu’un en cour ?
Tiyɛn tiyɛn na kuntigi n bi nin le ɲininga ra.,"En vérité, marquis, c'est ce que je me demande."
an tun bi kumana ameriki dugu gɛlɛya ni a boɲɛ kan,"On parlait aussi du pays, de la chère et grande Amérique."
A dan nin to nin bɛ a nɔ na ale bi.,La frontière reste la même aujourd'hui.
sira ka sée duminikɛ yɔrɔ ma a ti tɛmɛ miniti duuru kan,La trajet jusqu'au restaurant ne prendra que cinq minutes.
Nin cɛ nin ka miri ka cɛn fɔ a kadi n ye.,"Cet homme, porté à dire la vérité, me plait."
A tun bi tulon kɛra ni alu ye.,Elle jouait avec vous.
Barka foyi tun t'a ra k'a sɛbɛ.,Elle n'avait même plus le courage de lui écrire.
Aviyɔnso be yi.,Il y a un aéroport.
A ka Rene Sitlɛr dasi.,Il a battu Rainer Schüttler.
Ibi bamuso i nalola ka tɛmɛ.,Mère Ubu Tu es si bête !
O mɔgɔ wolonfila le ranw la.,ils sont sept sur les rangs.
O taw le.,c'est les siennes.
Fɛn bɛɛ jaara foo kɔgɔji.,"Tout est aride, sauf la mer."
O ka kɛnɛ wa?,Comment vont-ils ?
A ka nankɔ dogoni lo tun.,C’était son jardin secret.
a ma kɛ a fɛ,Il n'a pas voulu.
barabɛ kɛni,Du travail tout fait.
n kaɲi i ni cee,"Je suis bien, merci !"
ale ti kuntigi ye,Il n'est pas le maître.
Nɔn kelen lo.,Il s'agit donc d'un fragment.
Nin ne ye n ta ye,c'est celle-ci la mienne.
bugɔrɔi filimu le kadi n ye,Je préfère les films d'action.
I yɛrɛ lalaga,Mais range-toi donc !
anu ka joli ani anu ka bon,Notre sang et notre maison.
Olu bi kalan kɛra.,"elles, elles lisent."
N ka fanidɔnsaki tununa.,Ma valise s’est perdue.
alugu diara ɲɔgɔn ye wa,"Vous, vous êtes aimés."
A bi xhira rènn na,Il habite à Rennes.
"A bi yôrô Dow la,ama yana bô","Elle est dans la Nature, y bouillonne, voudrait se verser en torrents."
u ka sogoma foli yɛrɛ barika le ka bɔ.,"C’est leur bonjour, qui est « plein de grâce » en effet."
dugu biɲɛ ka sɛbɛli jɔgɔ bɛ danan.,L’orthographe peut varier selon le pays.
A toun lonni bè aka couleur kama,Il était connu pour ses couleurs et sa matière qu'il aimait à concevoir lui-même.
Ayé aka un souma donni,Me voilà un peu intimidé.
O miri la ko tôgô yêlèma,"Ils décident d'échanger leurs identités, tandis que Betsy fait de même avec sa sœur."
A yé ka teli franci,Elle est assez fréquente en France.
Ne konon a bi fè ka souko a râ,Je crois même qu'il a fantaisie d'y passer la nuit.
Franci mogô wou ka wari mara ka di,"Mais l'argent des contribuables français, c'est bon à garder."
Tchè fila nounou bè tigè ni lo,Les deux hommes sont donc suspendus.
Aka djen koulou sigi yôrô be Madrid,Elle a son siège social à Madrid.
A daminè na fan donni toun yèlè ni lo,"À l'origine, la partie située devant la gare était entièrement ouverte."
Ni sôgô ma dani nan anya yougou yougou donni,"Seulement, ce matin, nous l'avons un peu secoué."
Fani nounou couleur kagni,Les couleurs des costumes à elles seules sont exceptionnellement belles.
Mouna ma son môgô ka fô ta ma?,Pourquoi n’ai-je pas obéi aux préjugés sociaux?
Filmu juman lo kadi aw ye ka tɛmɛ?,Quel est votre film préféré ?
N larala ko a bi na dia an ye,Je suis sûr qu’on aimera.
Eugène i yi yèré mina,"Eugène, tu t'es bien conduit."
Fɔlɔfɔlɔ ka fangabara.,Un must pour l'époque.
A bi sɔrɔ tuma caaman Peru ra.,Elle est endémique du Pérou.
KO mi adrian le jefirɛn nunugu fanga ka bɔn ka tɛmɛ o ka avionw kan,"En théorie, les Zeppelins semblent très nettement supérieurs aux avions de l'époque."
O ka ɲamɔgɔ ye gwɛlɛya bɛɛ bɔ yi.,Le clergé tourna l'obstacle.
O ya dan ka ban,Il est ensemencé.
N tun b'a fɛ drɔn le.,"Seulement, j’en voudrais…"
Tile tan ni duuru tɛmɛ na.,Quinze jours s'écoulèrent.
Sira Luwi Lumiɛr tagamasiyɛn.,"Rue Louis Lumiére, Signes"
Ryil ka sira Sɛn kantɛn,"Rue de Reuil, Saint-Quentin"
Zan Vogoyo ka sira Avriye.,"Avenue Jean Vaugoyau, Avrillé"
Beringier ta sira wolon fila nan,Rue Béringier au numéro sept
Sul ye cɛ tɛ muso tɛ le ye,Soules est lesbienne.
A nɛnɛ kili cogoya bi gwalɛyara ka togataga,Le souffle devenait rauque.
A la ni lo a yèrè la,Elle a un aplomb !…
Champel ka sira ba,Rue de Champel au Cheylard
O toumbi wo chié na,ils raclaient les bas-fonds
Bâti neuve ka sira ba,"Rue de la Bise, La Bâtie-Neuve"
Free tun bɛ nunun ka lajɛn yɔgɔn cɛman.,Free étaient parmi ces bandes.
Mahz'eu cbokora,Et la Maheude se rendormit.
A ya yèrè ta ko fissaya,Il se mesura chétif et seul.
ka fara o kan tuguni ka miriya,Et en plus encore à imaginer.
sikardiɛr ka sira tan,dix route des Sicardières
Alɛksio Bamba ka fama ani sɔɔni.,"Alexio, duc de Mbamba, et Don."
Ecran ma lalaga ka ɲɛ,L'écran est mal calibré.
N ka masida ye,Voir Mahāssidha.
"Masala bolo, jaa, plan","textes, photos, plans…"
Siraba bisaba ni duuru feidɛl,trente-cinq rue Feydel
Ka kɛ o ɲɔngɔn kubɛn yɔrɔ kelen ni na,De même pour l'intersection.
Cognac ka sira,Rue Gaudonne à Cognac
A ka dougou bâ ye Tari gné,Sa capitale est Tari.
Siraba Nantɛz Zanze .,"Rue Nantaise, Janzé"
Siraba Lwi Diplɛn Besansɔn .,"Rue Louis Duplain, Besançon"
Sira du Vik Magalas .,"Chemin du Vic, Magalas"
"Brande ka foro, La Peruyi .","Champs de Brande, La Pérouille"
"Val dɛ Vo ka siraba, Avalɔn .","Rue du Val des Vaux, Avallon"
Tenayi cɛmancɛ sira ba.,"Rue Centrale, Tenay"
"Zalans ka siraba, nimero binani ni kelen.",Rue de Jallans au numéro quarante et un
Proze nin nana bila lon wɛrɛ kan.,Le projet est ensuite reporté.
sɛ,Roman polyphonique.
dɔ ka fara burubon kan,Plus de Bourbons!
ka bil de sok ye,Voir bille de choc.
potie ka sira ba tan nan na,Rue Potier au numéro dix
vil domage ka sira tan ni seegi,dix-huit rue de Villedommange
sira ba tan polrenoir-,dix rue Paul Renouard
Nga abina kè wakati kelé ka farifaga ani doussoukassi yé,Mais ce ne sera qu'une heure de défaillance et de déception.
Dorisan ye fɛn dɔ di,D'Orichamps offrit une prise.
a ma se ka foyi kɛ a ye darabɔni durɔn le kɛ,"Il n'a rien pu faire, il s'est un peu moqué."
Mɔgɔ min tun k'a ye wagati tan ni kelen tɛmɛni tun tina foyi famu.,Quelqu'un qui l'eût vue un quart d'heure auparavant n'y eût rien compris.
A mandimini caaman a banna o lon kelen min na Evre ka dɔtɔrɔso ra.,"Grièvement blessé, il meurt le même jour à l'hôpital d'Évreux."
N sera ka kɛ a muso yɛrɛ sɔna ko tan lo,J’ai réussi à me faire confirmer ça par sa femme.
Anw ta dɔ,On ne sait pas.
Zan Valzan y'a yɛrɛ bila ɲafɛ.,Jean Valjean s’élança.
lidi tun bi te min tle wagati bɛra,Lydie buvait du thé à toute heure du jour.
Basi Vɛrne la sira a durunan na.,Rue de la Basse Vergnée au numéro cinq
Ka na kadi,Ne pleure pas!
Sisika ye sogo ferela ba dɔ denmuso le ye.,Siska est la fille d'un grossiste en viande.
wari ni a camanba bɛ n la ye ka ye,"L'argent, en grande partie, n'a jamais été retrouvé."
Ora i n'a fɔ alu ni anw n'a lafia caman,"Nous serons alors, vous et moi, pleinement satisfaits."
Kongon bara kojougou,Il a super faim.
I bâ ladjê la gnè,"J’ai vérifié, c’est bien ce qu’elle a dit."
Christophe ka sira,"Rue du Petit-Saint-Christophe, Perpignan"
An yafa la o ma,"Tu le vois, nous leur pardonnons."
"Gouillons ka sira, Léthuin","Route de Gouillons, Léthuin"
